Wall time,Step,Value
1600701332.328932,0,0.02007683925330639
1600701489.9168696,1,0.01966881938278675
1600701648.3801925,2,0.019485341385006905
1600701794.0246353,3,0.018949344754219055
1600701928.6702516,4,0.018293878063559532
1600702063.5838594,5,0.017577825114130974
1600702198.095888,6,0.016665061935782433
1600702333.512716,7,0.015661360695958138
1600702468.4738457,8,0.014928371645510197
1600702603.8997755,9,0.014489267952740192
1600702737.5220652,10,0.013768686912953854
1600702871.2981622,11,0.013407493941485882
1600703004.760641,12,0.01310152467340231
1600703137.081554,13,0.01276948768645525
1600703260.525211,14,0.012557913549244404
1600703383.9793217,15,0.012369566597044468
1600703507.4201446,16,0.012012431398034096
1600703630.9208958,17,0.011874214746057987
1600703754.3522422,18,0.011677919887006283
1600703877.8287647,19,0.011447452008724213
1600704001.2736492,20,0.011251145042479038
1600704124.6976159,21,0.011198307387530804
1600704248.4940703,22,0.010958751663565636
1600704372.0531838,23,0.010776448994874954
1600704495.5410397,24,0.010738695040345192
1600704619.207246,25,0.010423733852803707
1600704742.736198,26,0.010402302257716656
1600704866.3561535,27,0.010284637100994587
1600704989.9908156,28,0.010141815058887005
1600705113.3628085,29,0.009926957078278065
1600705236.308336,30,0.010002968832850456
1600705360.5073907,31,0.00983367208391428
1600705483.4911337,32,0.009693123400211334
1600705606.4456666,33,0.009655349887907505
1600705729.4189458,34,0.009552160277962685
1600705852.3388824,35,0.009606721810996532
1600705975.220981,36,0.009476503357291222
1600706098.1001198,37,0.009575149044394493
1600706221.066336,38,0.009604900144040585
1600706343.9586463,39,0.009520350024104118
1600706466.8469837,40,0.009407903999090195
1600706589.6796093,41,0.00936222542077303
1600706712.675722,42,0.00931291002780199
1600706835.569078,43,0.009174763225018978
1600706958.4063706,44,0.009187833406031132
1600707081.294905,45,0.009243788197636604
1600707204.1558495,46,0.009166196919977665
1600707327.0195704,47,0.009110305458307266
1600707449.8247263,48,0.009104488417506218
1600707572.6948845,49,0.009017514996230602
