Wall time,Step,Value
1600804991.2933505,0,0.6406000852584839
1600805195.2168913,1,0.6036744713783264
1600805399.9967353,2,0.5915030837059021
1600805604.7473502,3,0.5741142630577087
1600805809.2733006,4,0.5544635057449341
1600806014.1204646,5,0.526331901550293
1600806218.5204132,6,0.4903739094734192
1600806422.9173717,7,0.4509478509426117
1600806627.4238267,8,0.41361939907073975
1600806831.927646,9,0.38322359323501587
1600807035.71657,10,0.3547742962837219
1600807239.9474256,11,0.3309866786003113
1600807444.250583,12,0.31000736355781555
1600807648.245485,13,0.29070600867271423
1600807852.409439,14,0.2745777368545532
1600808056.3407516,15,0.25985482335090637
1600808260.824051,16,0.24622561037540436
1600808465.0631716,17,0.2361566722393036
1600808668.9175816,18,0.22394420206546783
1600808873.5508718,19,0.21444307267665863
1600809078.167535,20,0.20688265562057495
1600809282.2992406,21,0.19895099103450775
1600809486.7716925,22,0.19166503846645355
1600809690.9734085,23,0.18376918137073517
1600809894.9839945,24,0.17739614844322205
1600810099.7534919,25,0.17033836245536804
1600810304.3005066,26,0.16613157093524933
1600810508.8053203,27,0.1609412133693695
1600810713.5422919,28,0.15591220557689667
1600810917.6394234,29,0.15178591012954712
1600811121.7729833,30,0.14732076227664948
1600811326.0127416,31,0.14433269202709198
1600811530.1775508,32,0.13860106468200684
1600811734.3312602,33,0.13542158901691437
1600811938.4264107,34,0.1336190402507782
1600812142.6117094,35,0.1309417337179184
1600812346.8512683,36,0.1254042088985443
1600812550.9834113,37,0.12342502921819687
1600812754.407669,38,0.12161214649677277
1600812958.347493,39,0.11822857707738876
1600813162.1482346,40,0.11643906682729721
1600813366.0380473,41,0.11506353318691254
1600813570.2630622,42,0.1123838722705841
1600813774.651945,43,0.11152472347021103
1600813978.4743378,44,0.10921039432287216
1600814183.5147765,45,0.10626289993524551
1600814388.798393,46,0.1064227968454361
1600814594.092321,47,0.10394454002380371
1600814799.3441122,48,0.10416585206985474
1600815004.4975665,49,0.10214221477508545
