Wall time,Step,Value
1600804991.2933602,0,0.01926613785326481
1600805195.2169023,1,0.017054880037903786
1600805399.9967473,2,0.01409207098186016
1600805604.7473607,3,0.011482464149594307
1600805809.2733111,4,0.00962779950350523
1600806014.1204755,5,0.00819560419768095
1600806218.520424,6,0.007119234651327133
1600806422.917383,7,0.006311910692602396
1600806627.423837,8,0.005815017037093639
1600806831.927657,9,0.0052425614558160305
1600807035.7165802,10,0.0048851496540009975
1600807239.9474368,11,0.004502243362367153
1600807444.2505941,12,0.0042456770315766335
1600807648.245496,13,0.003920761868357658
1600807852.4094512,14,0.0037452566903084517
1600808056.3407624,15,0.0036007799208164215
1600808260.8240678,16,0.003445530543103814
1600808465.0631828,17,0.003193130949512124
1600808668.9176383,18,0.0030726820696145296
1600808873.5508823,19,0.003059027949348092
1600809078.1675465,20,0.0029126594308763742
1600809282.2992592,21,0.002771187573671341
1600809486.7717032,22,0.0026818488258868456
1600809690.9734206,23,0.0026190374046564102
1600809894.9840052,24,0.0025470100808888674
1600810099.753507,25,0.0024662627838552
1600810304.3005176,26,0.0023657220881432295
1600810508.8053384,27,0.0023449775762856007
1600810713.542303,28,0.002265502465888858
1600810917.6394405,29,0.0022225636057555676
1600811121.7729936,30,0.0021937605924904346
1600811326.0127518,31,0.002129640895873308
1600811530.1775675,32,0.002101923106238246
1600811734.3312778,33,0.0020974487997591496
1600811938.4264212,34,0.002034940989688039
1600812142.611726,35,0.0019660978578031063
1600812346.851281,36,0.0018912623636424541
1600812550.9834237,37,0.0018691937439143658
1600812754.407686,38,0.0018310813466086984
1600812958.3475096,39,0.0018016081303358078
1600813162.1482513,40,0.0017302861670032144
1600813366.0380647,41,0.0017376571195200086
1600813570.2630806,42,0.001736883306875825
1600813774.6519666,43,0.0016699641710147262
1600813978.4743536,44,0.0016687513561919332
1600814183.514788,45,0.0015954537084326148
1600814388.798405,46,0.001612989348359406
1600814594.0923374,47,0.0015798850217834115
1600814799.3441265,48,0.0015323888510465622
1600815004.4975774,49,0.0015015614917501807
