Wall time,Step,Value
1600650907.5718534,0,0.6853827238082886
1600651072.7845445,1,0.6806859970092773
1600651202.232626,2,0.6745363473892212
1600651325.7534826,3,0.664760947227478
1600651449.0018344,4,0.6565059423446655
1600651572.384212,5,0.6499432325363159
1600651695.619564,6,0.6442049145698547
1600651818.6416256,7,0.63936847448349
1600651941.6163325,8,0.6348225474357605
1600652064.628861,9,0.6313350200653076
1600652187.7076516,10,0.628020167350769
1600652310.8673887,11,0.6246402263641357
1600652433.9790676,12,0.6219978928565979
1600652556.9715831,13,0.6193013787269592
1600652679.9750059,14,0.6168148517608643
1600652803.0747697,15,0.6142317652702332
1600652926.1103976,16,0.6121647357940674
1600653049.124997,17,0.6099283695220947
1600653172.3103366,18,0.6084542274475098
1600653295.4898674,19,0.6067490577697754
1600653418.7937338,20,0.605110228061676
1600653541.9985776,21,0.6036173701286316
1600653665.229448,22,0.6015497446060181
1600653788.3422635,23,0.6006734371185303
1600653911.6041787,24,0.5992276668548584
1600654034.7795942,25,0.5978537201881409
1600654158.0485127,26,0.5967182517051697
1600654281.2049603,27,0.5949026346206665
1600654404.366171,28,0.5945191979408264
1600654527.5924034,29,0.5936490893363953
1600654650.784753,30,0.5925027132034302
1600654773.8743732,31,0.5916411280632019
1600654896.946737,32,0.590647280216217
1600655020.1590261,33,0.5901698470115662
1600655144.0095432,34,0.5890990495681763
1600655268.4491751,35,0.5889226198196411
1600655392.5538273,36,0.5880771279335022
1600655516.5556881,37,0.5868585705757141
1600655640.449583,38,0.5868104696273804
1600655764.4211965,39,0.5860661268234253
1600655888.3616004,40,0.5852755904197693
1600656012.1894615,41,0.5839908719062805
1600656136.0461776,42,0.5834841728210449
1600656259.8011231,43,0.5834113359451294
1600656383.2161818,44,0.5826343894004822
1600656506.692415,45,0.5820956826210022
1600656630.1243718,46,0.5820565819740295
1600656753.4559472,47,0.5813574194908142
1600656876.7486615,48,0.5810689330101013
1600656999.951104,49,0.5804306268692017
