2020-08-14T14:35:52.069120|[0.0, 0.0, 0.0, 0.0, 0.473021864891052, 2.0]
2020-08-14T14:35:52.979662|[0.0, 0.0, 0.0, 0.0, 0.378014713525772, 2.0]
2020-08-14T14:35:53.119339|[0.0, 0.0, 0.0, 0.0, 0.174936220049858, 3.0]
2020-08-14T14:35:53.309066|[0.0, 0.0, 0.0, 0.0, 0.103757448494434, 3.0]
2020-08-14T14:35:55.634558|[0.0, 0.0, 0.0, 0.0, 0.0274601317942142, 3.0]
2020-08-14T14:35:55.707437|[0.0, 0.0, 0.0, 0.0, 0.0106248520314693, 3.0]
2020-08-14T14:35:55.770677|[0.0, 0.0, 0.0, 0.0, 0.000281813379842788, 2.0]
2020-08-14T14:35:55.920409|[0.0, 0.0, 0.0, 0.0, 0.00538910366594791, 2.0]
2020-08-14T14:35:56.016797|[1.0, 1.0, 0.0, 0.0, 0.173470541834831, 4.0]
2020-08-14T14:35:56.280373|[1.0, 1.0, 0.0, 0.0, 0.481380105018616, 5.0]
2020-08-14T14:35:56.528863|[0.0, 0.0, 0.0, 0.0, 0.891125798225403, 4.0]
2020-08-14T14:35:56.708276|[0.0, 0.0, 0.0, 0.0, 0.889447510242462, 4.0]
2020-08-14T14:35:56.888740|[0.0, 0.0, 0.0, 0.0, 0.888075530529022, 4.0]
2020-08-14T14:35:56.950990|[0.0, 0.0, 0.0, 0.0, 0.886362731456757, 4.0]
2020-08-14T14:35:57.137106|[1.0, 1.0, 0.0, 0.0, 0.88482940196991, 4.0]
2020-08-14T14:35:57.372105|[1.0, 1.0, 0.0, 0.0, 1.25354528427124, 4.0]
2020-08-14T14:35:57.773666|[1.0, 1.0, 0.0, 0.0, 2.07408332824707, 3.0]
2020-08-14T14:35:57.981306|[1.0, 1.0, 0.0, 0.0, 1.58642482757568, 3.0]
2020-08-14T14:35:58.053715|[1.0, 1.0, 0.0, 0.0, 2.52496433258057, 3.0]
2020-08-14T14:35:58.125247|[0.0, 0.0, 0.0, 0.0, 3.03866577148438, 3.0]
2020-08-14T14:35:58.274338|[0.0, 0.0, 0.0, 0.0, 3.05184412002563, 3.0]
2020-08-14T14:35:58.337257|[0.0, 0.0, 0.0, 0.0, 3.04695844650269, 3.0]
2020-08-14T14:35:58.403078|[0.0, 0.0, 0.0, 0.0, 3.04204869270325, 3.0]
2020-08-14T14:35:58.590215|[0.0, 0.0, 0.0, 0.0, 3.03591823577881, 3.0]
2020-08-14T14:35:58.801939|[0.0, 0.0, 0.0, 0.0, 3.03041863441467, 3.0]
2020-08-14T14:35:58.860257|[0.0, 0.0, 0.0, 0.0, 3.02433657646179, 3.0]
2020-08-14T14:35:58.960600|[0.0, 0.0, 0.0, 0.0, 3.01948881149292, 3.0]
2020-08-14T14:35:59.410003|[1.0, 1.0, 0.0, 0.0, 3.47520422935486, 3.0]
2020-08-14T14:35:59.468540|[1.0, 1.0, 0.0, 0.0, 3.95722270011902, 3.0]
2020-08-14T14:35:59.525128|[1.0, 1.0, 0.0, 0.0, 4.50375366210938, 3.0]
2020-08-14T14:35:59.806397|[1.0, 1.0, 0.0, 0.0, 5.06138134002686, 3.0]
2020-08-14T14:35:59.881998|[1.0, 1.0, 0.0, 0.0, 5.62837600708008, 3.0]
