Wall time,Step,Value
1600522248.3571901,0,0.10617886483669281
1600522371.3522584,1,0.10072704404592514
1600522494.3869154,2,0.08927059173583984
1600522617.4888902,3,0.08025733381509781
1600522740.5069814,4,0.07342154532670975
1600522863.516284,5,0.06796149164438248
1600522986.5727923,6,0.06352750211954117
1600523109.6702123,7,0.06009955704212189
1600523232.9109015,8,0.056872591376304626
1600523355.7361367,9,0.05452528968453407
1600523478.755898,10,0.05179067701101303
1600523601.8132722,11,0.04970068857073784
1600523724.817974,12,0.047597162425518036
1600523847.9467568,13,0.04571668803691864
1600523970.913724,14,0.04418636113405228
1600524093.8919687,15,0.04250241816043854
1600524216.7740374,16,0.04104476422071457
1600524339.329507,17,0.03967975825071335
1600524462.0404665,18,0.03811420500278473
1600524584.6318824,19,0.036970142275094986
1600524707.2671564,20,0.0359426885843277
1600524829.964084,21,0.0345609150826931
1600524952.5183342,22,0.033612266182899475
1600525075.1674204,23,0.0324043445289135
1600525197.6209915,24,0.031467508524656296
1600525320.1485188,25,0.030460955575108528
1600525442.5718746,26,0.029948098585009575
1600525565.0632703,27,0.028956685215234756
1600525687.6924546,28,0.02834726683795452
1600525810.1385496,29,0.02714747190475464
1600525932.7431085,30,0.0266598928719759
1600526054.9458826,31,0.02601633407175541
1600526177.2023401,32,0.025577770546078682
1600526299.492926,33,0.024379808455705643
1600526421.6850953,34,0.02409921959042549
1600526543.9247422,35,0.023463720455765724
1600526666.0605972,36,0.022915221750736237
1600526788.2807024,37,0.02261941321194172
1600526910.4460309,38,0.02179839462041855
1600527032.5378125,39,0.021227164193987846
1600527154.7527657,40,0.0209860447794199
1600527276.9803872,41,0.02066616900265217
1600527399.142702,42,0.020520368590950966
1600527521.427673,43,0.01991615630686283
1600527643.6449974,44,0.019704969599843025
1600527765.822139,45,0.019015857949852943
1600527888.004886,46,0.018640432506799698
1600528010.276118,47,0.018719976767897606
1600528132.6583073,48,0.018110482022166252
1600528254.8964565,49,0.017996683716773987
