Wall time,Step,Value
1600628939.8214004,0,0.06914451718330383
1600629063.032491,1,0.06438121944665909
1600629186.3580868,2,0.06343074887990952
1600629309.8825672,3,0.062290776520967484
1600629433.3648999,4,0.060742445290088654
1600629556.9115224,5,0.058878105133771896
1600629680.2690465,6,0.05663418769836426
1600629803.8872201,7,0.0539240762591362
1600629927.3519874,8,0.05073921009898186
1600630050.9193852,9,0.047220420092344284
1600630174.4197164,10,0.044172585010528564
1600630297.9800599,11,0.04109564796090126
1600630421.4505386,12,0.03876098245382309
1600630545.0612433,13,0.03660280629992485
1600630668.580714,14,0.03465859964489937
1600630791.8134856,15,0.033086154609918594
1600630915.0892293,16,0.03149731084704399
1600631038.2059276,17,0.030415674671530724
1600631161.1014905,18,0.029223712161183357
1600631283.9558802,19,0.02814757637679577
1600631406.8200524,20,0.02747754193842411
1600631529.7435656,21,0.026440726593136787
1600631652.618978,22,0.025473641231656075
1600631775.4123716,23,0.024990679696202278
1600631898.3437674,24,0.02418670803308487
1600632020.9344208,25,0.02365885302424431
1600632143.5358176,26,0.022979440167546272
1600632266.0312514,27,0.022277874872088432
1600632388.5227175,28,0.021836398169398308
1600632511.0404944,29,0.021278271451592445
1600632633.523225,30,0.020639650523662567
1600632755.9989624,31,0.020255111157894135
1600632878.423676,32,0.0195823535323143
1600633000.8132813,33,0.019193043932318687
1600633123.2675257,34,0.018772615119814873
1600633245.6022694,35,0.01838570460677147
1600633367.9867618,36,0.01811462640762329
1600633490.394736,37,0.017641950398683548
1600633612.6749997,38,0.017395084723830223
1600633734.9588325,39,0.016862476244568825
1600633857.2070773,40,0.01644725725054741
1600633979.467381,41,0.016205642372369766
1600634101.7724226,42,0.015903277322649956
1600634224.0458882,43,0.01552050095051527
1600634346.3825607,44,0.015308464877307415
1600634468.6056535,45,0.015101040713489056
1600634590.789909,46,0.014677164144814014
1600634712.9764454,47,0.014583938755095005
1600634835.216653,48,0.014288441278040409
1600634957.4308462,49,0.014208325184881687
