Wall time,Step,Value
1602430764.8874443,0,0.19790369272232056
1602430899.2967982,1,0.19344070553779602
1602431033.8063278,2,0.17975562810897827
1602431168.3992927,3,0.1514226794242859
1602431302.815711,4,0.11646822094917297
1602431437.2889109,5,0.09166975319385529
1602431571.820885,6,0.07431969791650772
1602431706.3913398,7,0.06222299486398697
1602431840.7908514,8,0.05305812880396843
1602431975.4223592,9,0.046687401831150055
1602432109.9266045,10,0.04129435122013092
1602432244.3556707,11,0.03792142495512962
1602432378.8389707,12,0.03481809422373772
1602432513.363145,13,0.03201935440301895
1602432647.8025486,14,0.03021293692290783
1602432782.2673192,15,0.028679510578513145
1602432916.817631,16,0.026612527668476105
1602433051.4812331,17,0.02610260620713234
1602433185.9331377,18,0.024701451882719994
1602433320.5244422,19,0.024221785366535187
1602433455.3362355,20,0.023152951151132584
1602433589.966504,21,0.022392461076378822
1602433724.45956,22,0.021752234548330307
1602433859.4133735,23,0.021315619349479675
1602433994.4122236,24,0.020679255947470665
1602434129.3308625,25,0.020453255623579025
1602434264.150887,26,0.01987285725772381
1602434399.1572206,27,0.01930125616490841
1602434534.235422,28,0.018885334953665733
1602434669.2938685,29,0.018325868993997574
1602434804.3450801,30,0.018055614084005356
1602434939.2817893,31,0.017657766118645668
1602435074.2851841,32,0.017208008095622063
1602435209.1101456,33,0.01711273193359375
1602435344.2497337,34,0.016750620678067207
1602435479.1548772,35,0.016429169103503227
1602435614.2677994,36,0.01627243682742119
1602435749.2113304,37,0.015781406313180923
1602435884.1545956,38,0.015769129619002342
1602436019.0072937,39,0.01570519618690014
1602436154.0616574,40,0.015136165544390678
1602436289.011249,41,0.01502982247620821
1602436423.9357772,42,0.014919479377567768
1602436558.8414402,43,0.014697890728712082
1602436693.4444945,44,0.014597705565392971
1602436828.2271676,45,0.014635376632213593
1602436963.0845773,46,0.014201871119439602
1602437097.8587499,47,0.013892492279410362
1602437232.7781687,48,0.014149762690067291
1602437367.6582189,49,0.013932312838733196
1602437502.4996057,50,0.013902413658797741
1602437636.8597283,51,0.01362706907093525
1602437771.1667256,52,0.013464714400470257
1602437905.5948493,53,0.013263607397675514
1602438040.104803,54,0.013294397853314877
