Wall time,Step,Value
1602340591.2869668,0,13.911179542541504
1602340723.2899745,1,9.032522201538086
1602340856.3979752,2,8.217737197875977
1602340989.193361,3,7.412566184997559
1602341121.3766963,4,6.7925028800964355
1602341253.5390284,5,6.005344867706299
1602341386.0014622,6,5.333024501800537
1602341518.3360214,7,4.720637798309326
1602341650.5708833,8,4.1249237060546875
1602341782.963282,9,3.5288312435150146
1602341915.673813,10,3.0216948986053467
1602342049.350369,11,2.5676560401916504
1602342182.6989346,12,2.200856924057007
1602342316.1193063,13,1.9322880506515503
1602342448.891278,14,1.6737215518951416
1602342581.5000606,15,1.4974230527877808
1602342714.3691936,16,1.3512840270996094
1602342847.1898658,17,1.2301071882247925
1602342980.1295726,18,1.1225696802139282
1602343112.9050765,19,1.031923532485962
1602343245.7285142,20,0.9372021555900574
1602343378.51209,21,0.8817468881607056
1602343511.729403,22,0.8171246647834778
1602343645.199826,23,0.7736058831214905
1602343778.4755113,24,0.7393743395805359
1602343912.0013874,25,0.6786990761756897
1602344045.4804251,26,0.6491689682006836
1602344178.6840308,27,0.6140088438987732
1602344311.9855502,28,0.5803959965705872
1602344445.3128712,29,0.5545592904090881
1602344578.6349373,30,0.52898108959198
1602344712.2646296,31,0.5080500245094299
1602344845.4633288,32,0.4816289246082306
1602344978.9470158,33,0.4731474816799164
1602345112.4777164,34,0.4510193169116974
1602345245.9448392,35,0.4330265522003174
1602345379.4379978,36,0.4275871217250824
1602345512.8470645,37,0.40255582332611084
1602345646.2271826,38,0.38785144686698914
1602345779.780941,39,0.3796294331550598
1602345913.1720665,40,0.3678230047225952
1602346046.595268,41,0.35536327958106995
1602346179.9248967,42,0.34327927231788635
1602346314.1066468,43,0.3345167338848114
1602346448.477302,44,0.32973262667655945
1602346582.8158095,45,0.3215068280696869
1602346717.1155026,46,0.3157213628292084
1602346851.4049633,47,0.3040100634098053
1602346985.9587162,48,0.2994067966938019
1602347120.3197129,49,0.2966049909591675
1602347254.7266319,50,0.28986385464668274
1602347389.1844885,51,0.2838399410247803
1602347523.5769494,52,0.2823697030544281
1602347658.1145868,53,0.27204039692878723
1602347792.6382072,54,0.2715776562690735
1602347927.2477477,55,0.2655346393585205
1602348061.562671,56,0.26834139227867126
1602348195.9701977,57,0.2576032876968384
1602348330.258549,58,0.2598292827606201
