Wall time,Step,Value
1601647063.6635432,0,13.295973777770996
1601647191.4783552,1,9.038358688354492
1601647320.0576081,2,8.263689041137695
1601647448.6999986,3,7.6412858963012695
1601647577.4640841,4,7.013261795043945
1601647706.1076324,5,6.2698516845703125
1601647834.585147,6,5.599059581756592
1601647962.9057431,7,4.997141361236572
1601648091.343509,8,4.399205207824707
1601648219.379937,9,3.846651554107666
1601648347.622614,10,3.3475148677825928
1601648475.9523559,11,2.978297472000122
1601648604.241948,12,2.5972824096679688
1601648732.4530778,13,2.265911340713501
1601648860.7801683,14,2.0103347301483154
1601648988.8817759,15,1.7968883514404297
1601649117.831367,16,1.6392253637313843
1601649246.9514046,17,1.5010011196136475
1601649376.1512127,18,1.3740954399108887
1601649505.3113143,19,1.2529560327529907
1601649634.2451549,20,1.1728813648223877
1601649763.2294226,21,1.0637967586517334
1601649892.2238908,22,1.0201427936553955
1601650021.2185988,23,0.9325382113456726
1601650150.3447282,24,0.8681738376617432
1601650279.3375309,25,0.8280154466629028
1601650408.4665112,26,0.7783876061439514
1601650537.493434,27,0.7372261881828308
1601650666.4869723,28,0.6998788118362427
1601650795.4665258,29,0.6571168303489685
1601650924.5748787,30,0.6299530267715454
1601651053.7080874,31,0.59717857837677
1601651182.8650515,32,0.5752876400947571
1601651311.347047,33,0.5555975437164307
1601651439.4383056,34,0.5332545042037964
1601651567.583777,35,0.5028688907623291
1601651695.786215,36,0.48896703124046326
1601651824.0590956,37,0.47771966457366943
1601651952.147646,38,0.4510524868965149
1601652080.077097,39,0.4341024160385132
1601652208.6565235,40,0.4241808354854584
1601652337.672362,41,0.40865758061408997
1601652466.6838849,42,0.4020155072212219
1601652595.6775992,43,0.38751983642578125
1601652724.8218431,44,0.3687642812728882
1601652853.6542943,45,0.35542502999305725
1601652981.8652558,46,0.3556777536869049
1601653109.8806863,47,0.3375517427921295
1601653237.995891,48,0.3299873173236847
1601653366.258564,49,0.324317067861557
