Wall time,Step,Value
1601727494.0177014,0,12.758038520812988
1601727618.6575613,1,8.711104393005371
1601727743.38664,2,7.8182196617126465
1601727867.9051282,3,6.8340044021606445
1601727992.6681244,4,5.876495361328125
1601728117.4267514,5,4.963438987731934
1601728242.3854427,6,4.320170879364014
1601728367.2850978,7,3.797395706176758
1601728492.0405385,8,3.3224105834960938
1601728616.6388404,9,3.0198240280151367
1601728740.9700198,10,2.6840932369232178
1601728865.4273427,11,2.4037530422210693
1601728989.8183362,12,2.1964259147644043
1601729114.2618206,13,2.0075182914733887
1601729238.723266,14,1.8541496992111206
1601729363.076775,15,1.709342122077942
1601729487.5922751,16,1.5626580715179443
1601729611.987177,17,1.514919400215149
1601729736.4323306,18,1.3957645893096924
1601729860.8258448,19,1.322177529335022
1601729985.3133926,20,1.2461462020874023
1601730109.6449864,21,1.1779977083206177
1601730234.01782,22,1.1073052883148193
1601730358.4615586,23,1.0781636238098145
1601730482.9438326,24,1.0290191173553467
1601730607.4251294,25,0.9832562208175659
1601730731.8000138,26,0.9584107398986816
1601730856.106926,27,0.9175127744674683
1601730980.4295232,28,0.8782238364219666
1601731104.7942102,29,0.8696302771568298
1601731229.1721103,30,0.8080049157142639
1601731353.5057337,31,0.796005129814148
1601731477.702658,32,0.7579621076583862
1601731602.0698433,33,0.736365020275116
1601731726.3118546,34,0.7177539467811584
1601731850.7095675,35,0.6956497430801392
1601731975.0754085,36,0.6668646335601807
1601732099.3967066,37,0.655716598033905
1601732223.5711052,38,0.6281794309616089
1601732347.7129686,39,0.6179221272468567
1601732472.0313282,40,0.590406060218811
1601732596.3222177,41,0.5800352692604065
1601732720.4340158,42,0.5742448568344116
1601732844.6045856,43,0.5504375100135803
1601732968.823963,44,0.5346718430519104
1601733093.0680785,45,0.5154643058776855
1601733217.2732787,46,0.5137614607810974
1601733341.457142,47,0.5024471879005432
1601733465.685443,48,0.48108088970184326
1601733589.923485,49,0.471638560295105
