Wall time,Step,Value
1602340591.2869873,0,13.237244606018066
1602340723.2900002,1,8.388153076171875
1602340856.3979993,2,7.577613353729248
1602340989.193572,3,6.776647090911865
1602341121.3767269,4,6.159753322601318
1602341253.5390558,5,5.378742218017578
1602341386.0015001,6,4.716057300567627
1602341518.3361368,7,4.116856098175049
1602341650.5709062,8,3.5324671268463135
1602341782.9633996,9,2.9482836723327637
1602341915.673843,10,2.4547979831695557
1602342049.350393,11,2.0147829055786133
1602342182.6989672,12,1.665352463722229
1602342316.1194394,13,1.4118291139602661
1602342448.8913019,14,1.168273687362671
1602342581.5000873,15,1.0079799890518188
1602342714.3692205,16,0.8795927166938782
1602342847.1898875,17,0.7743127346038818
1602342980.1295958,18,0.6846706867218018
1602343112.905106,19,0.6087225079536438
1602343245.7285366,20,0.5303996801376343
1602343378.512124,21,0.4891655743122101
1602343511.7294307,22,0.439607709646225
1602343645.19985,23,0.4104881286621094
1602343778.4756289,24,0.3887912929058075
1602343912.0014207,25,0.34309783577919006
1602344045.4804497,26,0.32661744952201843
1602344178.6840599,27,0.302049458026886
1602344311.9855719,28,0.27938681840896606
1602344445.3128958,29,0.26320233941078186
1602344578.6350522,30,0.25011539459228516
1602344712.2646546,31,0.23641715943813324
1602344845.463351,32,0.2213832587003708
1602344978.9470515,33,0.21906492114067078
1602345112.477831,34,0.2061055600643158
1602345245.944862,35,0.1956707239151001
1602345379.4380217,36,0.19779948890209198
1602345512.8470857,37,0.17986561357975006
1602345646.2273302,38,0.17133831977844238
1602345779.7809627,39,0.16880027949810028
1602345913.1720994,40,0.16311851143836975
1602346046.5952902,41,0.15705198049545288
1602346179.9249215,42,0.14994291961193085
1602346314.1066713,43,0.1455926150083542
1602346448.477326,44,0.1451874077320099
1602346582.8158321,45,0.140888050198555
1602346717.1155274,46,0.1404995322227478
1602346851.404987,47,0.13164423406124115
1602346985.9587388,48,0.1304951310157776
1602347120.3197358,49,0.12997619807720184
1602347254.7266543,50,0.12668804824352264
1602347389.1845102,51,0.12431436032056808
1602347523.5769742,52,0.12128999829292297
1602347658.1146114,53,0.11720072478055954
1602347792.6382303,54,0.11682229489088058
1602347927.2478635,55,0.11494486778974533
1602348061.562694,56,0.11669032275676727
1602348195.970221,57,0.10955111682415009
1602348330.2585702,58,0.1117408350110054
1602348464.6399486,59,0.11485093086957932
1602348599.0205605,60,0.10407563298940659
