Wall time,Step,Value
1601647063.663927,0,0.019825167953968048
1601647191.4783785,1,0.019474785774946213
1601647320.057632,2,0.018855620175600052
1601647448.7000208,3,0.01715037040412426
1601647577.4641075,4,0.015186084434390068
1601647706.1076555,5,0.013237138278782368
1601647834.5851696,6,0.011808048002421856
1601647962.9057643,7,0.010656126774847507
1601648091.343531,8,0.009584910236299038
1601648219.3799598,9,0.008524562232196331
1601648347.6226363,10,0.00769007159397006
1601648475.9523785,11,0.006939244922250509
1601648604.2420611,12,0.0062486459501087666
1601648732.453195,13,0.005751386284828186
1601648860.7801912,14,0.005260450765490532
1601648988.8817995,15,0.004897367209196091
1601649117.8313887,16,0.004575199447572231
1601649246.9515188,17,0.004189945757389069
1601649376.1512344,18,0.004031515214592218
1601649505.3113382,19,0.0038351418916136026
1601649634.2451787,20,0.0035947056021541357
1601649763.2294452,21,0.0033131688833236694
1601649892.224004,22,0.003114658175036311
1601650021.2186258,23,0.002967049600556493
1601650150.3447506,24,0.0028788468334823847
1601650279.3375547,25,0.0027473089285194874
1601650408.4666283,26,0.0025722975842654705
1601650537.4934573,27,0.002469632076099515
1601650666.4869957,28,0.0024073123931884766
1601650795.466548,29,0.002328017493709922
1601650924.5749025,30,0.0022769973147660494
1601651053.7081108,31,0.0021320858504623175
1601651182.8650744,32,0.0020682686008512974
1601651311.3470707,33,0.0019851478282362223
1601651439.4383278,34,0.001976004336029291
1601651567.5838003,35,0.0019093852024525404
1601651695.7863276,36,0.0018872619839385152
1601651824.0591166,37,0.0017852504970505834
1601651952.1476688,38,0.0017901717219501734
1601652080.0771189,39,0.0017456294735893607
1601652208.6565442,40,0.0017065312713384628
1601652337.6723866,41,0.0016279964474961162
1601652466.6839108,42,0.0015881485305726528
1601652595.677623,43,0.0015709535218775272
1601652724.8218653,44,0.0014883867697790265
1601652853.6543183,45,0.0014851096784695983
1601652981.8652787,46,0.0014577725669369102
1601653109.8807085,47,0.0014172629453241825
1601653237.9959135,48,0.0013813318219035864
1601653366.2586844,49,0.0013581771636381745
